"loan_id","gender","married","dependents","education","self_employed","applicant_income","applicant_income_category","coapplicant_status","coapplicant_income","total_income","total_income_cat","loan_amount","loan_type","loan_amount_cat","loan_term","credit_history","property_area","loan_status","emi","dti"
"LP001003","Male","Yes","1","Graduate","No",4583,"Medium","Yes","1508.00","6091.00","Medium",128000,"Mortgage","Medium",360,"Yes","Rural","Rejected","355.56","5.84"
"LP001005","Male","Yes","0","Graduate","Yes",3000,"Low","No","0.00","3000.00","Low",66000,"Retail","Medium",360,"Yes","Urban","Approved","183.33","6.11"
"LP001006","Male","Yes","0","Not Graduate","No",2583,"Low","Yes","2358.00","4941.00","Medium",120000,"Mortgage","Medium",360,"Yes","Urban","Approved","333.33","6.75"
"LP001008","Male","No","0","Graduate","No",6000,"High","No","0.00","6000.00","Medium",141000,"Mortgage","Medium",360,"Yes","Urban","Approved","391.67","6.53"
"LP001011","Male","Yes","2","Graduate","Yes",5417,"Medium","Yes","4196.00","9613.00","High",267000,"Mortgage","High",360,"Yes","Urban","Approved","741.67","7.72"
"LP001013","Male","Yes","0","Not Graduate","No",2333,"Low","Yes","1516.00","3849.00","Low",95000,"Retail","Medium",360,"Yes","Urban","Approved","263.89","6.86"
"LP001014","Male","Yes","3+","Graduate","No",3036,"Low","Yes","2504.00","5540.00","Medium",158000,"Mortgage","High",360,"No","Semiurban","Rejected","438.89","7.92"
"LP001018","Male","Yes","2","Graduate","No",4006,"Medium","Yes","1526.00","5532.00","Medium",168000,"Mortgage","High",360,"Yes","Urban","Approved","466.67","8.44"
"LP001020","Male","Yes","1","Graduate","No",12841,"Very High","Yes","10968.00","23809.00","Very High",349000,"Mortgage","Very High",360,"Yes","Semiurban","Rejected","969.44","4.07"
"LP001024","Male","Yes","2","Graduate","No",3200,"Low","Yes","700.00","3900.00","Low",70000,"Retail","Medium",360,"Yes","Urban","Approved","194.44","4.99"
"LP001028","Male","Yes","2","Graduate","No",3073,"Low","Yes","8106.00","11179.00","High",200000,"Mortgage","High",360,"Yes","Urban","Approved","555.56","4.97"
"LP001029","Male","No","0","Graduate","No",1853,"Low","Yes","2840.00","4693.00","Medium",114000,"Mortgage","Medium",360,"Yes","Rural","Rejected","316.67","6.75"
"LP001030","Male","Yes","2","Graduate","No",1299,"Low","Yes","1086.00","2385.00","Low",17000,"Retail","Low",120,"Yes","Urban","Approved","141.67","5.94"
"LP001032","Male","No","0","Graduate","No",4950,"Medium","No","0.00","4950.00","Medium",125000,"Mortgage","Medium",360,"Yes","Urban","Approved","347.22","7.01"
"LP001036","Female","No","0","Graduate","No",3510,"Medium","No","0.00","3510.00","Low",76000,"Retail","Medium",360,"No","Urban","Rejected","211.11","6.01"
"LP001038","Male","Yes","0","Not Graduate","No",4887,"Medium","No","0.00","4887.00","Medium",133000,"Mortgage","Medium",360,"Yes","Rural","Rejected","369.44","7.56"
"LP001043","Male","Yes","0","Not Graduate","No",7660,"High","No","0.00","7660.00","High",104000,"Mortgage","Medium",360,"No","Urban","Rejected","288.89","3.77"
"LP001046","Male","Yes","1","Graduate","No",5955,"High","Yes","5625.00","11580.00","High",315000,"Mortgage","Very High",360,"Yes","Urban","Approved","875.00","7.56"
"LP001047","Male","Yes","0","Not Graduate","No",2600,"Low","Yes","1911.00","4511.00","Medium",116000,"Mortgage","Medium",360,"No","Semiurban","Rejected","322.22","7.14"
"LP001066","Male","Yes","0","Graduate","Yes",9560,"High","No","0.00","9560.00","High",191000,"Mortgage","High",360,"Yes","Semiurban","Approved","530.56","5.55"
"LP001068","Male","Yes","0","Graduate","No",2799,"Low","Yes","2253.00","5052.00","Medium",122000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","338.89","6.71"
"LP001073","Male","Yes","2","Not Graduate","No",4226,"Medium","Yes","1040.00","5266.00","Medium",110000,"Mortgage","Medium",360,"Yes","Urban","Approved","305.56","5.80"
"LP001086","Male","No","0","Not Graduate","No",1442,"Low","No","0.00","1442.00","Low",35000,"Retail","Low",360,"Yes","Urban","Rejected","97.22","6.74"
"LP001095","Male","No","0","Graduate","No",3167,"Low","No","0.00","3167.00","Low",74000,"Retail","Medium",360,"Yes","Urban","Rejected","205.56","6.49"
"LP001097","Male","No","1","Graduate","Yes",4692,"Medium","No","0.00","4692.00","Medium",106000,"Mortgage","Medium",360,"Yes","Rural","Rejected","294.44","6.28"
"LP001098","Male","Yes","0","Graduate","No",3500,"Medium","Yes","1667.00","5167.00","Medium",114000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","316.67","6.13"
"LP001100","Male","No","3+","Graduate","No",12500,"Very High","Yes","3000.00","15500.00","Very High",320000,"Mortgage","Very High",360,"Yes","Rural","Rejected","888.89","5.73"
"LP001112","Female","Yes","0","Graduate","No",3667,"Medium","Yes","1459.00","5126.00","Medium",144000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","400.00","7.80"
"LP001114","Male","No","0","Graduate","No",4166,"Medium","Yes","7210.00","11376.00","High",184000,"Mortgage","High",360,"Yes","Urban","Approved","511.11","4.49"
"LP001116","Male","No","0","Not Graduate","No",3748,"Medium","Yes","1668.00","5416.00","Medium",110000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","305.56","5.64"
"LP001119","Male","No","0","Graduate","No",3600,"Medium","No","0.00","3600.00","Low",80000,"Retail","Medium",360,"Yes","Urban","Rejected","222.22","6.17"
"LP001120","Male","No","0","Graduate","No",1800,"Low","Yes","1213.00","3013.00","Low",47000,"Retail","Low",360,"Yes","Urban","Approved","130.56","4.33"
"LP001131","Male","Yes","0","Graduate","No",3941,"Medium","Yes","2336.00","6277.00","Medium",134000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","372.22","5.93"
"LP001138","Male","Yes","1","Graduate","No",5649,"Medium","No","0.00","5649.00","Medium",44000,"Retail","Low",360,"Yes","Urban","Approved","122.22","2.16"
"LP001144","Male","Yes","0","Graduate","No",5821,"Medium","No","0.00","5821.00","Medium",144000,"Mortgage","Medium",360,"Yes","Urban","Approved","400.00","6.87"
"LP001146","Female","Yes","0","Graduate","No",2645,"Low","Yes","3440.00","6085.00","Medium",120000,"Mortgage","Medium",360,"No","Urban","Rejected","333.33","5.48"
"LP001151","Female","No","0","Graduate","No",4000,"Medium","Yes","2275.00","6275.00","Medium",144000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","400.00","6.37"
"LP001155","Female","Yes","0","Not Graduate","No",1928,"Low","Yes","1644.00","3572.00","Low",100000,"Retail","Medium",360,"Yes","Semiurban","Approved","277.78","7.78"
"LP001157","Female","No","0","Graduate","No",3086,"Low","No","0.00","3086.00","Low",120000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","333.33","10.80"
"LP001164","Female","No","0","Graduate","No",4230,"Medium","No","0.00","4230.00","Medium",112000,"Mortgage","Medium",360,"Yes","Semiurban","Rejected","311.11","7.35"
"LP001179","Male","Yes","2","Graduate","No",4616,"Medium","No","0.00","4616.00","Medium",134000,"Mortgage","Medium",360,"Yes","Urban","Rejected","372.22","8.06"
"LP001186","Female","Yes","1","Graduate","Yes",11500,"Very High","No","0.00","11500.00","High",286000,"Mortgage","High",360,"No","Urban","Rejected","794.44","6.91"
"LP001194","Male","Yes","2","Graduate","No",2708,"Low","Yes","1167.00","3875.00","Low",97000,"Retail","Medium",360,"Yes","Semiurban","Approved","269.44","6.95"
"LP001195","Male","Yes","0","Graduate","No",2132,"Low","Yes","1591.00","3723.00","Low",96000,"Retail","Medium",360,"Yes","Semiurban","Approved","266.67","7.16"
"LP001197","Male","Yes","0","Graduate","No",3366,"Medium","Yes","2200.00","5566.00","Medium",135000,"Mortgage","Medium",360,"Yes","Rural","Rejected","375.00","6.74"
"LP001198","Male","Yes","1","Graduate","No",8080,"High","Yes","2250.00","10330.00","High",180000,"Mortgage","High",360,"Yes","Urban","Approved","500.00","4.84"
"LP001199","Male","Yes","2","Not Graduate","No",3357,"Medium","Yes","2859.00","6216.00","Medium",144000,"Mortgage","Medium",360,"Yes","Urban","Approved","400.00","6.44"
"LP001205","Male","Yes","0","Graduate","No",2500,"Low","Yes","3796.00","6296.00","Medium",120000,"Mortgage","Medium",360,"Yes","Urban","Approved","333.33","5.29"
"LP001206","Male","Yes","3+","Graduate","No",3029,"Low","No","0.00","3029.00","Low",99000,"Retail","Medium",360,"Yes","Urban","Approved","275.00","9.08"
"LP001207","Male","Yes","0","Not Graduate","Yes",2609,"Low","Yes","3449.00","6058.00","Medium",165000,"Mortgage","High",180,"No","Rural","Rejected","916.67","15.13"
"LP001222","Female","No","0","Graduate","No",4166,"Medium","No","0.00","4166.00","Medium",116000,"Mortgage","Medium",360,"No","Semiurban","Rejected","322.22","7.73"
"LP001225","Male","Yes","0","Graduate","No",5726,"Medium","Yes","4595.00","10321.00","High",258000,"Mortgage","High",360,"Yes","Semiurban","Rejected","716.67","6.94"
"LP001228","Male","No","0","Not Graduate","No",3200,"Low","Yes","2254.00","5454.00","Medium",126000,"Mortgage","Medium",180,"No","Urban","Rejected","700.00","12.83"
"LP001233","Male","Yes","1","Graduate","No",10750,"Very High","No","0.00","10750.00","High",312000,"Mortgage","Very High",360,"Yes","Urban","Approved","866.67","8.06"
"LP001238","Male","Yes","3+","Not Graduate","Yes",7100,"High","No","0.00","7100.00","High",125000,"Mortgage","Medium",60,"Yes","Urban","Approved","2083.33","29.34"
"LP001241","Female","No","0","Graduate","No",4300,"Medium","No","0.00","4300.00","Medium",136000,"Mortgage","Medium",360,"No","Semiurban","Rejected","377.78","8.79"
"LP001243","Male","Yes","0","Graduate","No",3208,"Low","Yes","3066.00","6274.00","Medium",172000,"Mortgage","High",360,"Yes","Urban","Approved","477.78","7.62"
"LP001245","Male","Yes","2","Not Graduate","Yes",1875,"Low","Yes","1875.00","3750.00","Low",97000,"Retail","Medium",360,"Yes","Semiurban","Approved","269.44","7.19"
"LP001248","Male","No","0","Graduate","No",3500,"Medium","No","0.00","3500.00","Low",81000,"Retail","Medium",300,"Yes","Semiurban","Approved","270.00","7.71"
"LP001253","Male","Yes","3+","Graduate","Yes",5266,"Medium","Yes","1774.00","7040.00","High",187000,"Mortgage","High",360,"Yes","Semiurban","Approved","519.44","7.38"
"LP001255","Male","No","0","Graduate","No",3750,"Medium","No","0.00","3750.00","Low",113000,"Mortgage","Medium",480,"Yes","Urban","Rejected","235.42","6.28"
"LP001256","Male","No","0","Graduate","No",3750,"Medium","Yes","4750.00","8500.00","High",176000,"Mortgage","High",360,"Yes","Urban","Rejected","488.89","5.75"
"LP001259","Male","Yes","1","Graduate","Yes",1000,"Low","Yes","3022.00","4022.00","Medium",110000,"Mortgage","Medium",360,"Yes","Urban","Rejected","305.56","7.60"
"LP001263","Male","Yes","3+","Graduate","No",3167,"Low","Yes","4000.00","7167.00","High",180000,"Mortgage","High",300,"No","Semiurban","Rejected","600.00","8.37"
"LP001265","Female","No","0","Graduate","No",3846,"Medium","No","0.00","3846.00","Low",111000,"Mortgage","Medium",360,"Yes","Semiurban","Approved","308.33","8.02"
"LP001267","Female","Yes","2","Graduate","No",1378,"Low","Yes","1881.00","3259.00","Low",167000,"Mortgage","High",360,"Yes","Urban","Rejected","463.89","14.23"
